F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
5.429840e-01,689,2.973160e+00,743,4.950489e-01,1.865360e+00,1.733490e-01,6.908530e-01,3.314636e+00
5.416722e-01,688,3.013115e+00,744,4.974863e-01,1.951541e+00,1.741009e-01,6.917536e-01,3.520276e+00
NaN,NaN,2.695962e+00,741,6.145483e-01,1.553673e+00,1.711863e-01,6.880052e-01,2.697966e+00
NaN,NaN,3.148360e+00,742,5.558300e-01,1.901856e+00,1.878376e-01,7.514147e-01,3.333971e+00
6.033156e-01,689,3.303511e+00,743,5.500544e-01,2.072622e+00,1.926100e-01,7.676144e-01,3.682929e+00
6.018581e-01,688,3.347905e+00,744,5.527625e-01,2.168379e+00,1.934454e-01,7.686151e-01,3.911418e+00
NaN,NaN,2.965558e+00,741,6.760031e-01,1.709040e+00,1.883050e-01,7.568058e-01,2.967763e+00
NaN,NaN,3.463196e+00,742,6.114130e-01,2.092042e+00,2.066214e-01,8.265562e-01,3.667368e+00
6.636472e-01,689,3.633862e+00,743,6.050598e-01,2.279885e+00,2.118710e-01,8.443758e-01,4.051221e+00
6.620439e-01,688,3.682696e+00,744,6.080388e-01,2.385217e+00,2.127899e-01,8.454767e-01,4.302560e+00
NaN,NaN,1.696014e+00,742,3.219435e-01,9.980935e-01,1.039484e-01,3.882595e-01,1.666139e+00
NaN,NaN,1.908048e+00,743,2.929283e-01,1.190100e+00,1.111443e-01,4.155000e-01,2.018636e+00
3.191080e-01,688,1.962293e+00,744,2.918875e-01,1.279874e+00,1.126549e-01,4.205934e-01,2.217134e+00
3.199470e-01,688,1.960813e+00,745,2.944644e-01,1.326084e+00,1.123222e-01,4.187081e-01,2.349054e+00
NaN,NaN,2.035217e+00,742,3.863322e-01,1.197712e+00,1.247381e-01,4.659114e-01,1.999367e+00
NaN,NaN,2.289658e+00,743,3.515140e-01,1.428120e+00,1.333731e-01,4.986000e-01,2.422363e+00
3.829295e-01,688,2.354752e+00,744,3.502650e-01,1.535849e+00,1.351859e-01,5.047121e-01,2.660561e+00
3.839364e-01,688,2.352975e+00,745,3.533572e-01,1.591301e+00,1.347867e-01,5.024497e-01,2.818864e+00
NaN,NaN,2.374420e+00,742,4.507210e-01,1.397331e+00,1.455278e-01,5.435633e-01,2.332595e+00
NaN,NaN,2.671267e+00,743,4.100996e-01,1.666140e+00,1.556020e-01,5.817000e-01,2.826090e+00
4.467511e-01,688,2.747210e+00,744,4.086425e-01,1.791824e+00,1.577169e-01,5.888307e-01,3.103988e+00
4.479258e-01,688,2.745138e+00,745,4.122501e-01,1.856518e+00,1.572511e-01,5.861914e-01,3.288675e+00
NaN,NaN,2.713623e+00,742,5.151097e-01,1.596950e+00,1.663174e-01,6.212152e-01,2.665823e+00
NaN,NaN,3.052877e+00,743,4.686853e-01,1.904160e+00,1.778309e-01,6.648000e-01,3.229818e+00
5.105727e-01,688,3.139669e+00,744,4.670200e-01,2.047798e+00,1.802479e-01,6.729494e-01,3.547414e+00
5.119152e-01,688,3.137300e+00,745,4.711430e-01,2.121735e+00,1.797156e-01,6.699330e-01,3.758486e+00
NaN,NaN,3.052826e+00,742,5.794984e-01,1.796568e+00,1.871071e-01,6.988670e-01,2.999051e+00
NaN,NaN,3.434486e+00,743,5.272709e-01,2.142180e+00,2.000597e-01,7.479000e-01,3.633545e+00
5.743943e-01,688,3.532127e+00,744,5.253974e-01,2.303773e+00,2.027788e-01,7.570681e-01,3.990841e+00
5.759046e-01,688,3.529463e+00,745,5.300358e-01,2.386952e+00,2.021800e-01,7.536746e-01,4.228296e+00
NaN,NaN,3.392029e+00,742,6.438871e-01,1.996187e+00,2.078968e-01,7.765189e-01,3.332279e+00
NaN,NaN,3.816096e+00,743,5.858566e-01,2.380200e+00,2.222886e-01,8.310000e-01,4.037272e+00
6.382159e-01,688,3.924586e+00,744,5.837749e-01,2.559748e+00,2.253098e-01,8.411868e-01,4.434268e+00
6.398940e-01,688,3.921625e+00,745,5.889287e-01,2.652168e+00,2.246445e-01,8.374162e-01,4.698107e+00
NaN,NaN,3.731232e+00,742,7.082758e-01,2.195806e+00,2.286865e-01,8.541708e-01,3.665506e+00
NaN,NaN,4.197706e+00,743,6.444423e-01,2.618220e+00,2.445174e-01,9.141000e-01,4.440999e+00
7.020375e-01,688,4.317045e+00,744,6.421524e-01,2.815723e+00,2.478408e-01,9.253054e-01,4.877695e+00
7.038834e-01,688,4.313788e+00,745,6.478216e-01,2.917385e+00,2.471089e-01,9.211579e-01,5.167918e+00
NaN,NaN,1.796018e+00,742,3.261362e-01,1.067714e+00,1.090834e-01,3.967591e-01,1.747279e+00
NaN,NaN,1.990340e+00,743,2.971320e-01,1.259505e+00,1.156005e-01,4.219202e-01,2.100653e+00
3.239060e-01,688,2.031960e+00,744,2.964236e-01,1.346835e+00,1.167388e-01,4.260032e-01,2.302018e+00
3.250331e-01,688,2.021185e+00,745,2.992254e-01,1.389551e+00,1.161366e-01,4.234541e-01,2.436415e+00
NaN,NaN,2.155221e+00,742,3.913634e-01,1.281257e+00,1.309001e-01,4.761110e-01,2.096735e+00
NaN,NaN,2.388408e+00,743,3.565584e-01,1.511406e+00,1.387205e-01,5.063042e-01,2.520784e+00
3.886872e-01,688,2.438352e+00,744,3.557083e-01,1.616202e+00,1.400866e-01,5.112038e-01,2.762421e+00
3.900397e-01,688,2.425421e+00,745,3.590704e-01,1.667462e+00,1.393639e-01,5.081449e-01,2.923698e+00
NaN,NaN,2.514425e+00,742,4.565906e-01,1.494799e+00,1.527167e-01,5.554628e-01,2.446191e+00
NaN,NaN,2.786476e+00,743,4.159848e-01,1.763307e+00,1.618406e-01,5.906882e-01,2.940914e+00
4.534684e-01,688,2.844744e+00,744,4.149930e-01,1.885569e+00,1.634343e-01,5.964045e-01,3.222825e+00
4.550463e-01,688,2.829658e+00,745,4.189155e-01,1.945372e+00,1.625912e-01,5.928357e-01,3.410981e+00
NaN,NaN,2.873629e+00,742,5.218179e-01,1.708342e+00,1.745334e-01,6.348146e-01,2.795647e+00
NaN,NaN,3.184543e+00,743,4.754112e-01,2.015208e+00,1.849607e-01,6.750723e-01,3.361045e+00
