#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
7.529078e+00,4.971183e+01,500,3.082009e-01
7.520767e+00,4.967510e+01,500,3.084862e-01
7.515770e+00,4.965301e+01,500,3.086581e-01
7.546359e+00,4.978816e+01,500,3.076096e-01
7.529078e+00,4.971183e+01,500,3.082009e-01
7.520767e+00,4.967510e+01,500,3.084862e-01
7.515770e+00,4.965301e+01,500,3.086581e-01
7.546359e+00,4.978816e+01,500,3.076096e-01
7.529078e+00,4.971183e+01,500,3.082009e-01
7.520767e+00,4.967510e+01,500,3.084862e-01
7.515770e+00,4.965301e+01,500,3.086581e-01
7.546359e+00,4.978816e+01,500,3.076096e-01
7.529078e+00,4.971183e+01,500,3.082009e-01
7.520767e+00,4.967510e+01,500,3.084862e-01
7.515770e+00,4.965301e+01,500,3.086581e-01
7.546359e+00,4.978816e+01,500,3.076096e-01
7.529078e+00,4.971183e+01,500,3.082009e-01
7.520767e+00,4.967510e+01,500,3.084862e-01
7.515770e+00,4.965301e+01,500,3.086581e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
8.165755e+00,1.473562e+02,500,2.865601e-01
8.184040e+00,1.476155e+02,500,2.860202e-01
8.173399e+00,1.474646e+02,500,2.863341e-01
8.168387e+00,1.473935e+02,500,2.864823e-01
